bug_id,baseline_rank,baseline_rr_at_10,metadata_only_rank,metadata_only_rr_at_10,metadata_only_delta_rr_at_10,metadata_retrieval_rank,metadata_retrieval_rr_at_10,metadata_retrieval_delta_rr_at_10,full_evidence_rank,full_evidence_rr_at_10,full_evidence_delta_rr_at_10
Closure-100,,0.0000,1,1.0000,1.0000,1,1.0000,1.0000,1,1.0000,1.0000
Closure-64,4,0.2500,3,0.3333,0.0833,5,0.2000,-0.0500,2,0.5000,0.2500
Closure-69,1,1.0000,1,1.0000,0.0000,1,1.0000,0.0000,1,1.0000,0.0000
Closure-70,,0.0000,3,0.3333,0.3333,3,0.3333,0.3333,5,0.2000,0.2000
Closure-72,,0.0000,2,0.5000,0.5000,1,1.0000,1.0000,3,0.3333,0.3333
Closure-76,,0.0000,1,1.0000,1.0000,1,1.0000,1.0000,1,1.0000,1.0000
Closure-77,8,0.1250,2,0.5000,0.3750,3,0.3333,0.2083,1,1.0000,0.8750
Closure-82,1,1.0000,3,0.3333,-0.6667,3,0.3333,-0.6667,3,0.3333,-0.6667
Closure-83,2,0.5000,1,1.0000,0.5000,1,1.0000,0.5000,2,0.5000,0.0000
Closure-91,,0.0000,1,1.0000,1.0000,1,1.0000,1.0000,1,1.0000,1.0000
Closure-95,2,0.5000,2,0.5000,0.0000,1,1.0000,0.5000,1,1.0000,0.5000
