dataset,metric,retrieval,full_rerank,selective_rerank,full_gain_over_retrieval,selective_gain_over_retrieval,selective_retention_of_full_gain,call_saving_vs_full,token_saving_vs_full,runtime_saving_vs_full
Closure-61..100,Top-1,0.39473684210526316,0.7368421052631579,0.5526315789473685,0.3421052631578947,0.1578947368421053,0.46153846153846173,0.7105263157894737,0.7124587058080009,0.7469428761443873
Closure-61..100,Top-3,0.5263157894736842,0.9210526315789473,0.7105263157894737,0.39473684210526316,0.1842105263157895,0.46666666666666673,0.7105263157894737,0.7124587058080009,0.7469428761443873
Closure-61..100,Top-5,0.6052631578947368,0.9736842105263158,0.7631578947368421,0.368421052631579,0.1578947368421053,0.42857142857142866,0.7105263157894737,0.7124587058080009,0.7469428761443873
Closure-61..100,Top-10,0.7105263157894737,0.9736842105263158,0.8421052631578947,0.26315789473684215,0.13157894736842102,0.4999999999999998,0.7105263157894737,0.7124587058080009,0.7469428761443873
Closure-61..100,MRR@10,0.49451754385964913,0.8219298245614035,0.6513157894736842,0.3274122807017544,0.15679824561403505,0.47890154052243794,0.7105263157894737,0.7124587058080009,0.7469428761443873
Math-21..40,Top-1,0.7,0.9,0.8,0.20000000000000007,0.10000000000000009,0.5000000000000002,0.85,0.8374767941157082,0.8764313749291899
Math-21..40,Top-3,0.95,1.0,1.0,0.050000000000000044,0.050000000000000044,1.0,0.85,0.8374767941157082,0.8764313749291899
Math-21..40,Top-5,0.95,1.0,1.0,0.050000000000000044,0.050000000000000044,1.0,0.85,0.8374767941157082,0.8764313749291899
Math-21..40,Top-10,0.95,1.0,1.0,0.050000000000000044,0.050000000000000044,1.0,0.85,0.8374767941157082,0.8764313749291899
Math-21..40,MRR@10,0.8166666666666667,0.95,0.8916666666666666,0.1333333333333333,0.07499999999999996,0.5624999999999998,0.85,0.8374767941157082,0.8764313749291899
AboutWork-60,Top-1,0.5666666666666667,0.8833333333333333,0.7,0.31666666666666665,0.1333333333333333,0.4210526315789473,0.7333333333333334,0.7217835456385194,0.7082638070151981
AboutWork-60,Top-3,0.8333333333333334,0.9833333333333333,0.95,0.1499999999999999,0.11666666666666659,0.7777777777777777,0.7333333333333334,0.7217835456385194,0.7082638070151981
AboutWork-60,Top-5,0.9166666666666666,1.0,0.9666666666666667,0.08333333333333337,0.050000000000000044,0.6000000000000003,0.7333333333333334,0.7217835456385194,0.7082638070151981
AboutWork-60,Top-10,0.9333333333333333,1.0,0.9666666666666667,0.06666666666666665,0.033333333333333326,0.5,0.7333333333333334,0.7217835456385194,0.7082638070151981
AboutWork-60,MRR@10,0.6976587301587301,0.9263888888888889,0.8116666666666668,0.22873015873015878,0.11400793650793661,0.4984385843164473,0.7333333333333334,0.7217835456385194,0.7082638070151981
